Datetime,Hourly Global Radiation (KJ/m2),Hourly Maximum Gust (kn),Hourly Mean Wind Direction (o),Hourly Mean Windspeed (kn),Hourly Pressure at Mean Sea Level (hPa),Hourly Rainfall Total (mm),Hourly Relative Humidity (%),Hourly Snow Depth (cm),Hourly Temperature (C),"Hourly Total Cloud Cover (oktas)
",Hourly Visibility (dm)
2013-01-08 08:00:00,0.0,11.0,204.0,6.2,1024.425,0.0,87.75714285714285,0.0,8.528571428571428,3.6666666666666665,2300.0
2013-01-08 09:00:00,40.0,11.0,210.0,6.0,1024.875,0.0,88.88571428571429,0.0,8.828571428571427,6.0,2433.3333333333335
2013-01-08 10:00:00,173.33333333333334,11.6,224.0,6.3999999999999995,1025.2749999999999,0.0,87.10000000000001,0.0,9.442857142857141,7.333333333333333,2000.0
2013-01-08 11:00:00,233.33333333333334,14.4,224.0,7.8,1025.225,0.0,85.44285714285715,0.0,9.857142857142858,7.333333333333333,2300.0
2013-01-08 12:00:00,544.3333333333334,15.6,226.0,7.8,1024.7,0.0,81.85714285714286,0.0,10.728571428571428,4.333333333333333,2600.0
2013-01-08 13:00:00,554.3333333333334,16.4,230.0,8.8,1024.375,0.0,80.54285714285713,0.0,10.9,6.333333333333333,3000.0
2013-01-08 14:00:00,258.6666666666667,17.2,232.0,9.0,1024.0,0.0,82.04285714285713,0.0,10.742857142857144,7.666666666666667,2866.6666666666665
2013-01-08 15:00:00,128.0,16.4,232.0,8.0,1024.0,0.0,83.37142857142858,0.0,10.614285714285714,7.666666666666667,2566.6666666666665
2013-01-08 16:00:00,77.0,13.0,218.0,7.2,1023.9250000000001,0.0,84.7,0.0,10.37142857142857,8.0,2333.3333333333335
2013-01-08 17:00:00,6.666666666666667,11.6,216.0,6.6000000000000005,1023.875,0.0,86.57142857142857,0.0,10.171428571428573,7.666666666666667,1900.0
2013-01-08 18:00:00,0.0,11.4,214.0,6.3999999999999995,1023.775,0.0,87.3,0.0,10.185714285714285,7.666666666666667,1500.0
